config_key,method,k1,b,map,num_queries
BM25__b=0.3__k1=0.6,BM25,0.6,0.3,0.24632849238297932,50
BM25__b=0.4__k1=0.6,BM25,0.6,0.4,0.24746374986866865,50
BM25__b=0.5__k1=0.6,BM25,0.6,0.5,0.2452845269085187,50
BM25__b=0.6__k1=0.6,BM25,0.6,0.6,0.24223128526424542,50
BM25__b=0.75__k1=0.6,BM25,0.6,0.75,0.23922379138251387,50
BM25__b=0.3__k1=0.9,BM25,0.9,0.3,0.24495351142906294,50
BM25__b=0.4__k1=0.9,BM25,0.9,0.4,0.24546562746858,50
BM25__b=0.5__k1=0.9,BM25,0.9,0.5,0.24419801425074417,50
BM25__b=0.6__k1=0.9,BM25,0.9,0.6,0.24149698429657218,50
BM25__b=0.75__k1=0.9,BM25,0.9,0.75,0.23737414669358778,50
BM25__b=0.3__k1=1.2,BM25,1.2,0.3,0.24257423638200984,50
BM25__b=0.4__k1=1.2,BM25,1.2,0.4,0.2426522586877103,50
BM25__b=0.5__k1=1.2,BM25,1.2,0.5,0.24241606428393067,50
BM25__b=0.6__k1=1.2,BM25,1.2,0.6,0.23999554639547338,50
BM25__b=0.75__k1=1.2,BM25,1.2,0.75,0.2334337677263321,50
BM25__b=0.3__k1=1.5,BM25,1.5,0.3,0.23922956951613145,50
BM25__b=0.4__k1=1.5,BM25,1.5,0.4,0.2396064939339427,50
BM25__b=0.5__k1=1.5,BM25,1.5,0.5,0.23840815280511876,50
BM25__b=0.6__k1=1.5,BM25,1.5,0.6,0.2359820411107273,50
BM25__b=0.75__k1=1.5,BM25,1.5,0.75,0.23070346939252245,50
BM25__b=0.3__k1=2.0,BM25,2.0,0.3,0.23204654726965246,50
BM25__b=0.4__k1=2.0,BM25,2.0,0.4,0.233007544806642,50
BM25__b=0.5__k1=2.0,BM25,2.0,0.5,0.23235613920354847,50
BM25__b=0.6__k1=2.0,BM25,2.0,0.6,0.22917354224841557,50
BM25__b=0.75__k1=2.0,BM25,2.0,0.75,0.2249800640956926,50
