config_key,k1,b,fb_terms,fb_docs,original_weight,rrf_k,prf_fb_docs,prf_top_passages,expansion_terms,expansion_token_budget,batch_size,alpha,passage_size,passage_stride,rerank_k,map
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=50__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,128,64,50,0.3134781473726716
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=100__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,128,64,100,0.3179875665728366
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=200__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,128,64,200,0.3223095701762572
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=128__prf_fb_docs=5__prf_top_passages=10__rerank_k=50__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,128,128,50,0.3017402349625691
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=128__prf_fb_docs=5__prf_top_passages=10__rerank_k=100__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,128,128,100,0.3051757779324366
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=128__prf_fb_docs=5__prf_top_passages=10__rerank_k=200__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,128,128,200,0.3085225353991243
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=192__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=50__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,192,64,50,0.3060217521150102
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=192__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=100__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,192,64,100,0.3109385235556846
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,128,64,500,0.3271633299540656
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=128__prf_fb_docs=5__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,128,128,500,0.3116147258307113
